seed	V	E	states	duration
21e44ab79e3a259a	6	6	8861	54
44440ee78f4e1209	7	9	1476	105
6390b207d2eefb09	6	5	4714	34
efb519c4768cc850	6	12	8058	25
bd54b43412b5c412	8	7	12876	1419
5786f1c95abd611f	8	25	919841	3495
edf471685eb507ec	7	7	5270	154
000b84d7e84eee7c	8	25	919841	22303
cf2e00b56dac79f7	8	27	13370769	42440
33f51939f0c2b15b	7	11	6303	255
737960aafd8f311e	8	9	950	788
3c79f3f9e31a3598	8	23	214417	33825
a299997199ee2348	8	20	22009	6598
0ad12d9b2acdcc8c	6	5	1434	22
545a25448322306b	8	20	37349	3614
0fdb7a8ae526df18	8	19	45715	4056
fd34352a684ff3a4	6	9	2279	26
db9e679a0ad13246	6	14	22689	108
88f3bc464fce9640	6	12	16035	52
e06655793b555849	8	20	10872	1199
89d8de07d2505d9a	8	22	10056	564
3c665f2fd84dd520	6	7	2099	19
03f9eb35099a620c	8	13	4740	1363
29687ffd71b4658c	6	14	22689	49
ea560613c1fd7ea3	6	9	3298	29
89acafcf29e41798	7	12	6615	147
f6047941e75ba190	8	7	6134	895
a60461b73b479b60	7	7	7406	177
545e99cacc0cb2d1	6	10	4007	24
892babf67fa130ff	6	10	1704	10
3c0b85af40be341e	8	24	698307	14470
133100a51f7ef407	8	12	4796	995
e63f9f219cd5e27e	6	5	1332	24
3435edcdb047e066	6	14	22689	95
b9baab9735c6ebfe	7	6	1413	118
8b2e1c58d3d81708	7	14	17092	931
2d8b94b997749c22	6	8	2142	17
02292ff2b3713776	6	6	1254	20
87b5f0c954d0cbd8	7	15	7993	109
aaf85576ff8755f5	7	20	466927	1242
7ad7ab09dedf5523	8	7	11390	890
1da19563c027baf3	7	12	2400	122
a7de8e37691e3bec	8	27	13370769	87582
7783b220f03a235f	7	9	535	256
f93edbcab6a83b7a	6	6	584	18
fac05f866c8143b8	6	7	1417	30
996130f91229fbd8	7	11	3202	149
616b14d6749f3406	8	25	919841	49516
17b96d8b3ea866cf	8	19	1	565
0de86e48f59f8c04	8	13	1140	480
6058ed51db26f920	6	10	2212	21
7dd930fb04da62e2	6	9	1870	19
a3e1dacdf2435ed6	6	7	1147	18
6d9ee049fcb46c13	6	7	2554	22
3810117aed97bb5b	6	5	1434	24
1b42d4c79434376d	6	14	22689	31
28f1f905286037bd	8	18	6221	1072
5bda32a93500c64f	8	20	163877	4614
90c96bb46c58dfbb	6	5	1434	27
4da479561ba36b18	6	14	22689	94
43790f6af3e381bc	6	6	1433	20
b30114b24bea17e6	8	18	1	1014
996307be0398dfcc	6	14	22689	95
e296f2abbdd3a2a1	8	16	3374	1164
68bcf87079c315b2	6	5	2792	32
d76071dc9c282ca5	7	7	4532	122
754a6b327c5f94a6	6	13	5299	23
d9cf6f841c0a79b5	6	6	272	15
b76e3b3bee2f9caf	8	22	29055	3261
b914d08926bd6f48	6	12	5369	43
c15780702a07c72e	8	12	43129	1392
3476c7ea72a38265	7	18	11601	204
962ea83e49970328	8	20	7861	883
2a9dbe1209dcd636	6	9	1275	15
eb517514b47918ef	8	26	1293343	27254
096bb9f6d94d3010	7	12	6607	271
43efe3f5e4ffd1be	8	24	109375	11556
00590485a70be118	7	20	466927	1920
05458306182438ca	7	11	2858	91
77b42535c91f26a3	7	8	2958	110
f1acfc83613c128b	8	19	5616	281
1d58f16e7f41b531	8	23	214417	5505
bda299bb05adf0c2	6	12	3333	11
5710a5c72fa66212	8	13	18201	1202
4ceb6415b0434435	8	12	5468	1691
a3900df97ecd6b95	8	23	23695	1002
a7f3c5af4aa26b0c	8	26	5898985	66564
88db17042c1e0b13	7	11	6010	163
cc111a983d90d9be	6	10	2212	24
137b17f99ed9f040	7	19	237671	3920
6be0d8babde7cc4e	7	15	3325	91
6cb3eec97f35da7d	6	10	2212	24
3208e72c84df4efb	6	7	1147	15
befc6263db506dff	8	16	8963	1623
822a938069cb740e	7	13	9554	151
f89696876a92aaca	6	8	1739	20
eb84cc980918afa7	8	17	1311	902
855405a889313082	6	10	1023	22
11ad41aac4afd036	7	16	16147	342
7d2b5a215da8fad1	6	12	5369	46
e107283035a5e6d4	6	6	1334	20
aaf935687260a645	6	5	1332	29
9e98fd7aa1f1a4c7	8	27	13370769	42807
9a9b8854c7bb51b3	7	11	864	213
9ec1ae0d800fa6c9	7	15	3325	112
7b9e19d6a2ee4431	8	25	919841	3441
0ed1d59428f2c9a1	8	20	1836	2023
e18d57eb86dca611	6	13	14161	63
64efa190ccf3550b	6	7	1472	19
3d19a3ebc84be830	7	20	466927	5014
d01e03d304a579f4	8	7	6022	1022
6f362393d9dcbf19	6	12	3333	21
9b975fdb6fd17316	8	15	2202	1655
17965799c0497a5c	8	24	109375	7290
ce1b75d72140790c	7	14	12348	143
b81cc24fefc1e52a	7	7	4761	157
71af84d8adb8ecef	7	11	6784	144
89966af3be37dd8e	7	19	68109	414
7feccddc27cd22b3	6	12	5369	18
a54171a54214ff64	8	24	268555	3296
b0df7b27fca1d42d	6	11	2199	34
b4306ce2ddba68a2	8	19	3990	2959
155e29fa5cb3a97a	8	9	5662	979
2a41117082bc4aa8	8	13	89570	3216
8bbf78df6035a9fe	8	23	23695	973
508ca82242b39ab1	6	7	3639	25
bf85fcaa6d091a6d	6	11	5971	27
baa11706615bc800	7	20	466927	4990
c3b6c6479a4f4068	8	18	222648	1621
797b003d0eaf0d7b	6	13	5299	26
44b961c0ba9d103b	8	24	520843	41147
2fdd5bb19be90a33	7	10	4161	198
5b9fda3548dfd88b	6	12	1386	10
3f9a7f2871bb3fbe	7	14	5251	197
bc2f856fb707b098	6	9	871	16
47fe07c84d6ae840	6	10	4065	18
b296452784d5f84a	6	14	22689	49
c639eadeeff15d47	6	10	703	10
7f9206ea19c1ca62	8	22	29135	4151
766f0fd01133c3d9	7	18	35993	177
4c2af5d9003a7073	7	12	4281	136
470fce752138dc4e	8	9	3823	916
8f8709fc97277740	6	6	1334	22
d5d1a92b982f94e2	7	18	35993	156
ea9c84c9e935832d	7	13	3794	133
cd218cac76b25243	8	25	582135	17247
27df544f4eb37807	6	11	2199	25
5d3c220fb8d16edb	7	20	466927	2052
d40253e6f99edfba	6	7	3639	30
444be74295492d5f	7	14	17101	198
cb5cc217c0258260	7	11	10820	367
39a9b62703455ab7	7	6	19363	307
b5c5a6b2af729062	6	6	3309	37
d55e54c472a879a6	6	13	5299	18
fac195d98ba770b7	6	6	3309	36
e9b7c171171e7f88	6	9	2204	24
08ced9de65482080	7	20	466927	4321
27269a46121b15b0	8	14	18437	1306
a16010514e20dd21	6	10	2212	19
68b3c4f641c284bf	8	16	2867	1000
9a70553d2019863c	6	8	3274	29
a1b56bb2148fea83	8	20	47009	1275
b8fb5c2398d197b1	7	17	19221	402
62a1eaee5e076035	8	21	70331	1858
23c00dd39c97e19a	6	7	2099	27
9c22578334b80235	6	5	1434	24
f0821f901bc79875	8	13	1	546
e867f3ca5fd0d88f	6	10	4065	34
fab4fe1b965d9b64	6	7	2554	23
418e073a20c20e9a	8	14	7706	1409
e71ae3a410467898	8	16	5959	833
1f26e7a3e9c84302	8	23	498781	12508
3a6d7da4eaf27fec	6	11	1265	16
345254b8c127e171	8	13	7144	866
67da0bfb192a9a52	7	14	16983	505
b425f9f081e316fe	7	19	237671	1428
0abd5b42006f73be	6	9	674	18
7031bac160f2bbc2	8	9	7251	921
910cf29e8de79da4	6	9	5639	30
f04e3c0bff5b4818	6	5	1332	21
87f9fdcb3b2494b2	7	19	237671	1422
38599fd626b3b49a	6	14	22689	35
a30b37ed5edf25ef	8	25	919841	4812
79b93025f32d2215	8	14	1230	511
6c11910aba4e03a0	7	10	2672	154
559e1d0ba892a63d	7	8	14253	257
17d0a178a4eff20e	7	14	3761	127
f6516ff65fd94f8c	6	11	1265	18
eedef1bf222a655d	6	6	2530	33
23e9f5871a45b628	7	20	466927	4377
6d7d248a2fe0e670	6	5	1332	27
