V	E	seed (hex)	states	runtime (ms)
5	4	60b7acd9	541	4
6	10	1c06dac8	7727	64
5	8	56f32f43	1839	6
8	15	427c3c55	17528	1168
8	7	6d7d4b3	48510	6509
7	16	fc4111	148283	1791
6	5	35702e2f	1562	33
7	15	77188b05	58291	1400
8	18	bc5816b	15013	3997
7	12	59c09d07	12596	470
8	23	21980f48	1011621	76453
5	9	2a039441	5485	12
7	18	7eda5023	816543	4501
6	7	7dc43530	2057	35
7	18	5364f5ed	344311	1148
5	8	713e154b	1839	6
6	9	621c8039	5816	31
6	7	233025b8	2686	32
