V	E	seed (hex)	states	runtime (ms)
5	4	60b7acd9	541	17
7	14	1c06dac8	13875	509
5	8	56f32f43	1839	6
10	23	427c3c55	1	140543
9	9	6d7d4b3	12419	30089
8	21	fc4111	1231229	11365
7	7	35702e2f	2599	187
9	25	77188b05	1695931	40029
