V	E	seed (hex)	states	runtime (ms)
5	4	60b7acd9	541	5
7	14	1c06dac8	13875	546
5	8	56f32f43	1839	6
9	19	427c3c55	1	3653
9	9	6d7d4b3	12419	30727
7	16	fc4111	148283	1803
6	5	35702e2f	1562	33
8	19	77188b05	71191	4174
9	23	bc5816b	1	12945
8	16	59c09d07	34337	2736
9	30	21980f48	1886465	288529
5	9	2a039441	5485	12
8	23	7eda5023	468262	9584
6	7	7dc43530	2057	35
8	23	5364f5ed	501607	15513
5	8	713e154b	1839	7
6	9	621c8039	5816	24
